dataset,index,baseline,target,ratio,lo,hi,half_width_pct,cv_base_pct,cv_idx_pct,dof,excludes_parity,ms_baseline,ms_index
enron,CSPG,HNSW32,0.8,0.30610956238657416,0.30196319780753134,0.31031286217940185,1.3638359263873696,0.5098653409223178,0.6812531409941566,3.7054548079114937,True,0.021235840707964606,0.06937333333333334
enron,HNSW48,HNSW32,0.8,0.5298363450090969,0.524402362139251,0.5353266361108686,1.0309102116645186,0.5098653409223178,0.3921215979416683,3.7527114083727615,True,0.021235840707964606,0.04008
enron,IVFFlat,HNSW32,0.8,0.3912941342896894,0.3807834304651466,0.4020949633824255,2.723211396455687,0.5098653409223178,1.3916771723404415,2.527398867458839,True,0.021235840707964606,0.05427078723404255
enron,OPQ-IVFPQ,HNSW32,0.8,,,,,,,,,,
enron,OPQ-IVFPQ+SQ8,HNSW32,0.8,,,,,,,,,,
enron,SHG,HNSW48,0.9,0.86396285529513,0.7184352113817692,1.0389688638647017,18.550198687270996,0.4986328611589402,7.4079206987855,2.018122588096258,False,0.04336563636363638,0.05019386666666666
enron,CSPG,HNSW32,0.9,0.39420405535983755,0.3825046504886582,0.4062613018263148,3.0132428896464583,0.6325017430006973,1.5130619045050657,2.6782763071158517,True,0.038603467741935495,0.09792762711864407
enron,HNSW48,HNSW32,0.9,0.8901856626346171,0.8787684773275031,0.9017511829397427,1.2908939436420128,0.6325017430006973,0.4986328611589402,3.793306367228715,True,0.038603467741935495,0.04336563636363638
enron,IVFFlat,HNSW32,0.9,0.4197780994345161,0.4146519164740979,0.42496765543313736,1.2287133336560232,0.6325017430006973,0.43318537308153876,3.5378701518953988,True,0.038603467741935495,0.09196160493827167
enron,OPQ-IVFPQ,HNSW32,0.9,,,,,,,,,,
enron,OPQ-IVFPQ+SQ8,HNSW32,0.9,,,,,,,,,,
enron,SHG,HNSW48,0.95,0.840768582098542,0.7168719899730376,0.9860781541633113,16.0095280629029,0.40104732321172476,6.404422424610766,2.015685003442188,True,0.06842372549019604,0.08138235294117646
enron,CSPG,HNSW32,0.95,0.38773311015167744,0.3707637983635598,0.40547908229291824,4.476698406769818,0.39572298824395424,1.7573633143481904,2.2023039011674395,True,0.06024217948717946,0.15537022222222216
enron,HNSW48,HNSW32,0.95,0.8804282294715324,0.8725137696954776,0.8884144802905741,0.9030100389125868,0.39572298824395424,0.40104732321172476,3.9992857206544494,True,0.06024217948717946,0.06842372549019604
enron,IVFFlat,HNSW32,0.95,0.39358443561457135,0.38914067866621266,0.39807893764536084,1.1354944670501688,0.39572298824395424,0.5876413904619486,3.50452282449771,True,0.06024217948717946,0.15306037037037032
enron,OPQ-IVFPQ,HNSW32,0.95,,,,,,,,,,
enron,OPQ-IVFPQ+SQ8,HNSW32,0.95,,,,,,,,,,
enron,SHG,HNSW48,0.99,0.8501407295396697,0.740137446562127,0.9764933032091563,13.900984180290374,0.07090302254236272,5.577130981746711,2.0006464988995223,True,0.18356111111111062,0.21591849999999935
enron,CSPG,HNSW32,0.99,0.45551994090673614,0.41271736863695546,0.5027615320599731,9.883668675819113,0.17044903757204838,3.968283044657443,2.0073797616789593,True,0.2120202380952373,0.4654466666666666
enron,HNSW48,HNSW32,0.99,1.1550389775473748,1.1511283139622077,1.158962926610356,0.339149275498237,0.17044903757204838,0.07090302254236272,2.672028381948914,True,0.2120202380952373,0.18356111111111062
enron,IVFFlat,HNSW32,0.99,0.5475552522070901,0.540332578092058,0.5548744724559054,1.3278928752150359,0.17044903757204838,0.5065833133178574,2.447112182552627,True,0.2120202380952373,0.3872124999999989
enron,OPQ-IVFPQ,HNSW32,0.99,,,,,,,,,,
enron,OPQ-IVFPQ+SQ8,HNSW32,0.99,,,,,,,,,,
gist1m,SuCo,HNSW32,0.8,0.2551082066350081,0.25381983266622926,0.2564031203113661,0.506312140877698,0.20072734194330813,0.24393653384591377,3.8570320696214626,True,0.10774301294498383,0.42234240272456375
gist1m,SHG,HNSW48,0.8,0.9293387695650892,0.9273604823688915,0.9313212769327359,0.2130974566840695,0.10572912149920909,0.047708892262850695,2.7820368754813574,True,0.1407637419354839,0.15146655508771936
gist1m,CSPG,HNSW32,0.8,0.8612109622986489,0.8403743362643936,0.88256422117824,2.449451223962464,0.20072734194330813,0.9652076688878942,2.1726712246538127,True,0.10774301294498383,0.12510641139240508
gist1m,HNSW48,HNSW32,0.8,0.7654173685888911,0.7622338258241503,0.7686142077256787,0.41679103214570984,0.20072734194330813,0.10572912149920909,3.0304581512843027,True,0.10774301294498383,0.1407637419354839
gist1m,IVFFlat,HNSW32,0.8,0.29657556027038107,0.29169062861134043,0.30154229969070323,1.6609040661309482,0.20072734194330813,0.6376726531155765,2.3924951096112506,True,0.10774301294498383,0.36329026183666996
gist1m,OPQ-IVFPQ,HNSW32,0.8,,,,,,,,,,
gist1m,OPQ-IVFPQ+SQ8,HNSW32,0.8,1.8277669748677041,1.8204881028583726,1.8350749500486767,0.3990346524167812,0.20072734194330813,0.08298533846144299,2.6642694961722535,True,0.10774301294498383,0.05894789348230914
gist1m,SuCo,HNSW32,0.9,0.38216673286507546,0.376113193883543,0.3883177035102584,1.5967519641517636,0.04673212720289164,0.6409987319203654,2.0212600598038235,True,0.21285013304410705,0.5569562045560206
gist1m,SHG,HNSW48,0.9,0.9639172148646857,0.9624400169967592,0.9653966800048605,0.15336706111822698,0.04146972070263043,0.0724533752023732,3.183398254344108,True,0.25297300431499453,0.26244266666666677
gist1m,CSPG,HNSW32,0.9,0.8713400298250564,0.856517612019577,0.8864189561558915,1.715825229693508,0.04673212720289164,0.6890400603060308,2.018398946572497,True,0.21285013304410705,0.2442790710382514
gist1m,HNSW48,HNSW32,0.9,0.8413946524470743,0.8405525296023917,0.8422376189878503,0.10013668262317807,0.04673212720289164,0.04146972070263043,3.944236511966097,True,0.21285013304410705,0.25297300431499453
gist1m,IVFFlat,HNSW32,0.9,0.29765151601694534,0.29697257322238974,0.298332011019886,0.22836063724581562,0.04673212720289164,0.11518386822895492,2.6410575047940203,True,0.21285013304410705,0.7150984342105264
gist1m,OPQ-IVFPQ,HNSW32,0.9,,,,,,,,,,
gist1m,OPQ-IVFPQ+SQ8,HNSW32,0.9,1.4897656140918591,1.488112107380174,1.491420958087464,0.111052727891933,0.04673212720289164,0.05115864316603435,3.967680618663324,True,0.21285013304410705,0.14287491336270208
gist1m,SuCo,HNSW32,0.95,0.47797320412618005,0.4667164737661467,0.48950143546276126,2.383497809073784,0.2353336014728114,0.9300056617673619,2.255081923164463,True,0.380525732240437,0.7961235670859534
gist1m,SHG,HNSW48,0.95,0.9473922686458105,0.9463174549931052,0.9484683030562878,0.1135141236827411,0.047720568745078094,0.05233573686371968,3.966387928883955,True,0.4124352764857879,0.4353373888888889
gist1m,CSPG,HNSW32,0.95,0.8457866113308246,0.8415663365660175,0.8500280498688442,0.5002274326329389,0.2353336014728114,0.13696001781416817,3.2153850537929918,True,0.380525732240437,0.44990749101796385
gist1m,HNSW48,HNSW32,0.95,0.9226313895425226,0.9171438413698275,0.9281517713707352,0.5965508070544775,0.2353336014728114,0.047720568745078094,2.16419867772028,True,0.380525732240437,0.4124352764857879
gist1m,IVFFlat,HNSW32,0.95,0.32914585745390995,0.3276010710844478,0.3306979281857809,0.4704384137307223,0.2353336014728114,0.10094961297698883,2.711934151448705,True,0.380525732240437,1.1561006271929817
gist1m,OPQ-IVFPQ,HNSW32,0.95,,,,,,,,,,
gist1m,OPQ-IVFPQ+SQ8,HNSW32,0.95,,,,,,,,,,
gist1m,SuCo,HNSW32,0.99,0.5472117299182718,0.5432322106904031,0.5512204016392611,0.7298994623206561,0.36056665314193226,0.16685250907940663,2.8189979060179184,True,1.3717584916666647,2.506814851851846
gist1m,SHG,HNSW48,0.99,1.0222309182494955,1.0187240286811283,1.0257498800514593,0.3436528500997738,0.1379087343323124,0.010754762127651814,2.0243255126575512,True,1.09192268148148,1.0681761449275347
gist1m,CSPG,HNSW32,0.99,0.9418911522877199,0.9292683933262573,0.9546853730625225,1.3492524945441406,0.36056665314193226,0.6398081861637402,3.1539771882620555,True,1.3717584916666647,1.4563874905660363
gist1m,HNSW48,HNSW32,0.99,1.2562780450768858,1.2473999686984172,1.26521930907934,0.7092116450953437,0.36056665314193226,0.1379087343323124,2.572896717164479,True,1.3717584916666647,1.09192268148148
gist1m,IVFFlat,HNSW32,0.99,0.5421890157238218,0.5372520935505002,0.5471713043104866,0.9147373399610674,0.36056665314193226,0.07456766471296676,2.1707639825534315,True,1.3717584916666647,2.5300374074073937
gist1m,OPQ-IVFPQ,HNSW32,0.99,,,,,,,,,,
gist1m,OPQ-IVFPQ+SQ8,HNSW32,0.99,,,,,,,,,,
msong,SuCo,HNSW32,0.8,0.025048492362868643,0.02266833375235052,0.027678565901987816,10.001065287794244,4.017341995215012,0.1141998917578606,2.0032323135509524,True,0.011201666666666667,0.4471992367601246
msong,SHG,HNSW48,0.8,0.856178017915541,0.8078221335820693,0.9074284646192015,5.816917098597942,2.7113060472792148,1.6318843028462016,3.280942228397837,True,0.020071666666666668,0.023443333333333333
msong,CSPG,HNSW32,0.8,0.22584764272993044,0.20889882586151576,0.24417158649077433,7.808972500863755,4.017341995215012,2.748142283923521,3.535552734989855,True,0.011201666666666667,0.049598333333333335
msong,HNSW48,HNSW32,0.8,0.5580835340031554,0.516373262976347,0.6031629700000902,7.775691427517777,4.017341995215012,2.7113060472792148,3.5089070640251547,True,0.011201666666666667,0.020071666666666668
msong,IVFFlat,HNSW32,0.8,0.230307065656924,0.21234102105554759,0.24979320636132424,8.13092407715514,4.017341995215012,1.8456506010918772,2.808262328394672,True,0.011201666666666667,0.04863796355841373
msong,OPQ-IVFPQ,HNSW32,0.8,0.23913293720973555,0.22059419645799921,0.2592296741108653,8.078242609252145,4.017341995215012,3.034915509561722,3.7219757576899104,True,0.011201666666666667,0.0468428431372549
msong,OPQ-IVFPQ+SQ8,HNSW32,0.8,,,,,,,,,,
msong,SuCo,HNSW32,0.9,0.02446595805224206,0.02351119720587567,0.025459490564116255,3.9816412545145385,1.5766928775410007,0.2851680509961479,2.1307082603635545,True,0.016192916666666668,0.661855
msong,SHG,HNSW48,0.9,0.8586311818306074,0.8444751030835395,0.873024561316041,1.6624983366917745,0.14378970787674153,0.6535294232688676,2.1931829344933655,True,0.023101829710144923,0.026905416666666668
msong,CSPG,HNSW32,0.9,0.24100234505734794,0.23356019600010486,0.2486816303370242,3.137196514274811,1.5766928775410007,0.6551308345032051,2.670603572696315,True,0.016192916666666668,0.06718987179487182
msong,HNSW48,HNSW32,0.9,0.7009365435481382,0.673901815405304,0.7290558162181561,3.934307700213681,1.5766928775410007,0.14378970787674153,2.0332652922396104,True,0.016192916666666668,0.023101829710144923
msong,IVFFlat,HNSW32,0.9,0.23625691061814366,0.22683137265342918,0.24607410854102457,4.072417572304788,1.5766928775410007,1.99168813122685,3.799873830558923,True,0.016192916666666668,0.06853944134078215
msong,OPQ-IVFPQ,HNSW32,0.9,,,,,,,,,,
msong,OPQ-IVFPQ+SQ8,HNSW32,0.9,,,,,,,,,,
msong,SuCo,HNSW32,0.95,0.019741960057715224,0.019129811475054447,0.020373697222717348,3.1503603087698115,1.11572718428111,1.6178905614154846,3.5514113351682988,True,0.02427333333333333,1.2295300599520376
msong,SHG,HNSW48,0.95,0.8679030143942017,0.843069065418408,0.8934684870932935,2.903516916003826,0.5929905122006801,1.4647625894012888,2.6384242079610734,True,0.029993333333333334,0.03455839285714286
msong,CSPG,HNSW32,0.95,0.2436428021372252,0.2368786979790905,0.25060005623012577,2.8158759730786307,1.11572718428111,1.3568874743431507,3.856028840351196,True,0.02427333333333333,0.0996267204301075
msong,HNSW48,HNSW32,0.95,0.8092909535452322,0.790721639529057,0.8282963494969373,2.3214586671998534,1.11572718428111,0.5929905122006801,3.046403967960608,True,0.02427333333333333,0.029993333333333334
msong,IVFFlat,HNSW32,0.95,0.2772874848590182,0.2643085620338666,0.29090374018828924,4.795596557115529,1.11572718428111,2.358813103297609,2.8522684490402535,True,0.02427333333333333,0.08753851024208563
msong,OPQ-IVFPQ,HNSW32,0.95,,,,,,,,,,
